,phrase,label,sentiment,subjectivity,language,count
multibillion-dollar,multibillion-dollar,MONEY,,,en,1.0
Oct. 21,Oct. 21,DATE,,,en,1.0
September,September,DATE,,,en,1.0
a sunny morning,a sunny morning,TIME,,,en,1.0
50 feet,50 feet,QUANTITY,,,en,1.0
about 3 miles,about 3 miles,QUANTITY,,,en,1.0
"Tuesday, October 21","Tuesday, October 21",DATE,,,en,1.0
seasonal,seasonal,DATE,,,en,1.0
96%,96%,PERCENT,,,en,1.0
mid-September,mid-September,DATE,,,en,1.0
Oct. 20,Oct. 20,DATE,,,en,1.0
105 degrees,105 degrees,QUANTITY,,,en,1.0
Green’ Solution Made Climate Change Worse,Green’ Solution Made Climate Change Worse,WORK_OF_ART,,,en,1.0
‘We Are Eating the Earth,‘We Are Eating the Earth,WORK_OF_ART,,,en,1.0
Sudanese,Sudanese,NORP,,,en,1.0
as much as $21 trillion,as much as $21 trillion,MONEY,,,en,1.0
$21 Trillion,$21 Trillion,MONEY,,,en,1.0
the last few months,the last few months,DATE,,,en,1.0
the Galaxy Z Fold 7,the Galaxy Z Fold 7,PRODUCT,,,en,1.0
Week 7,Week 7,DATE,,,en,1.0
30,30,CARDINAL,,,en,1.0
0.82%,0.82%,PERCENT,,,en,1.0
0.45%,0.45%,PERCENT,,,en,1.0
Indonesian,Indonesian,NORP,,,en,1.0
first year,first year,DATE,,,en,1.0
662,662,MONEY,,,en,1.0
Ukrainian,Ukrainian,NORP,,,en,1.0
October 19 to October 23,October 19 to October 23,DATE,,,en,1.0
300-acre,300-acre,CARDINAL,,,en,1.0
2100,2100,DATE,,,en,1.0
"Abstract
Neurons","Abstract
Neurons",WORK_OF_ART,,,en,1.0
2.7°F,2.7°F,QUANTITY,,,en,1.0
Tonight,Tonight,TIME,,,en,1.0
Smash Mouth,Smash Mouth,PRODUCT,,,en,1.0
90,90,MONEY,,,en,1.0
YouTube,YouTube,PRODUCT,,,en,1.0
this weeks,this weeks,DATE,,,en,1.0
nights,nights,TIME,,,en,1.0
daytime,daytime,TIME,,,en,1.0
Sunny day,Sunny day,DATE,,,en,1.0
No Intention of Bowing Out',No Intention of Bowing Out',WORK_OF_ART,,,en,1.0
"October 19, 2025","October 19, 2025",DATE,,,en,1.0
32.7°,32.7°,PERCENT,,,en,1.0
Mica,Mica,WORK_OF_ART,,,en,1.0
cl,cl,NORP,,,en,1.0
"600,000","600,000",CARDINAL,,,en,1.0
May 30,May 30,DATE,,,en,1.0
the Great Depression,the Great Depression,EVENT,,,en,1.0
the early 1980s,the early 1980s,DATE,,,en,1.0
Deadly Water Crisis,Deadly Water Crisis,WORK_OF_ART,,,en,1.0
+11145,+11145,NORP,,,en,1.0
April,April,DATE,,,en,1.0
countrys,countrys,NORP,,,en,1.0
The week ahead,The week ahead,DATE,,,en,1.0
32.7°C,32.7°C,MONEY,,,en,1.0
+1946 chars,+1946 chars,WORK_OF_ART,,,en,1.0
decades,decades,DATE,,,en,1.0
October 17,October 17,DATE,,,en,1.0
"Amazon
","Amazon
",PRODUCT,,,en,1.0
Mercola,Mercola,PRODUCT,,,en,1.0
the beginning of next week,the beginning of next week,DATE,,,en,1.0
Irish,Irish,NORP,,,en,1.0
CHAPTER ONE,CHAPTER ONE,LAW,,,en,1.0
one extra hour,one extra hour,TIME,,,en,1.0
This Sunday,This Sunday,DATE,,,en,1.0
Built for Autumn,Built for Autumn,EVENT,,,en,1.0
Saturdays,Saturdays,DATE,,,en,1.0
57,57,CARDINAL,,,en,1.0
19,19,CARDINAL,,,en,1.0
6 minutes,6 minutes,TIME,,,en,1.0
Poor Sleep Quality With Dr. Neel Bulchandani,Poor Sleep Quality With Dr. Neel Bulchandani,WORK_OF_ART,,,en,1.0
Greek,Greek,NORP,,,en,1.0
October 16,October 16,DATE,,,en,1.0
Elon Musks,Elon Musks,PRODUCT,,,en,1.0
Vélodrome,Vélodrome,WORK_OF_ART,,,en,1.0
11/01/2025,11/01/2025,DATE,,,en,1.0
the last month,the last month,DATE,,,en,1.0
This months,This months,DATE,,,en,1.0
Once a month,Once a month,DATE,,,en,1.0
Lightspeed,Lightspeed,PRODUCT,,,en,1.0
the Mexico Pavilion,the Mexico Pavilion,FAC,,,en,1.0
every minute,every minute,TIME,,,en,1.0
New year,New year,DATE,,,en,1.0
Month,Month,DATE,,,en,1.0
month,month,DATE,,,en,1.0
1991,1991,DATE,,,en,1.0
Philippine,Philippine,NORP,,,en,1.0
onOctober 31,onOctober 31,DATE,,,en,1.0
millions of euros,millions of euros,MONEY,,,en,1.0
World Heavyweight Champion,World Heavyweight Champion,WORK_OF_ART,,,en,1.0
+7054,+7054,NORP,,,en,1.0
Saturday Night's Main Event,Saturday Night's Main Event,TIME,,,en,1.0
Disney Hall: Concert Review,Disney Hall: Concert Review,FAC,,,en,1.0
Pussycat Doll Playtime,Pussycat Doll Playtime,WORK_OF_ART,,,en,1.0
Sunset Blvd,Sunset Blvd,WORK_OF_ART,,,en,1.0
the Hill Stand,the Hill Stand,FAC,,,en,1.0
spring morning,spring morning,TIME,,,en,1.0
20 years ago,20 years ago,DATE,,,en,1.0
Melbourne Cup,Melbourne Cup,EVENT,,,en,1.0
Makybe Diva,Makybe Diva,WORK_OF_ART,,,en,1.0
mos,mos,DATE,,,en,1.0
the middle of October,the middle of October,DATE,,,en,1.0
the past four years,the past four years,DATE,,,en,1.0
Tres Leches Cake,Tres Leches Cake,WORK_OF_ART,,,en,1.0
JoBlo,JoBlo,PRODUCT,,,en,1.0
Decades later,Decades later,DATE,,,en,1.0
1995,1995,DATE,,,en,1.0
one minute,one minute,TIME,,,en,1.0
Hibiscus,Hibiscus,NORP,,,en,1.0
Sweet Almond,Sweet Almond,PRODUCT,,,en,1.0
Christmassy,Christmassy,DATE,,,en,1.0
mid-October,mid-October,DATE,,,en,1.0
8 weeks,8 weeks,DATE,,,en,1.0
decades ago,decades ago,DATE,,,en,1.0
vineyards,vineyards,NORP,,,en,1.0
12h,12h,CARDINAL,,,en,1.0
The Neverending Winter,The Neverending Winter,WORK_OF_ART,,,en,1.0
the Land of Broken Dreams,the Land of Broken Dreams,EVENT,,,en,1.0
the World Heavyweight Championship,the World Heavyweight Championship,WORK_OF_ART,,,en,1.0
Airbnb,Airbnb,NORP,,,en,1.0
Hearst Magazines,Hearst Magazines,WORK_OF_ART,,,en,1.0
Each week,Each week,DATE,,,en,1.0
Indulgent ‘Conclave’ Follow-Up Starring Colin Farrell as a Hopeless Gambling Addict,Indulgent ‘Conclave’ Follow-Up Starring Colin Farrell as a Hopeless Gambling Addict,WORK_OF_ART,,,en,1.0
Hurricane Melissa Show,Hurricane Melissa Show,EVENT,,,en,1.0
Oct. 29,Oct. 29,DATE,,,en,1.0
"at least 125,000 years","at least 125,000 years",DATE,,,en,1.0
the hottest year,the hottest year,DATE,,,en,1.0
two hours,two hours,TIME,,,en,1.0
the Kennedy Center,the Kennedy Center,FAC,,,en,1.0
as much as 15 degrees Celsius,as much as 15 degrees Celsius,QUANTITY,,,en,1.0
the coming days,the coming days,DATE,,,en,1.0
‘90s,‘90s,DATE,,,en,1.0
early this morning,early this morning,TIME,,,en,1.0
New Orleans Saints,New Orleans Saints,EVENT,0.07454545454545455,0.4584848484848485,en,1.0
99c,99c,TIME,,,en,1.0
Final Fantas…,Final Fantas…,PRODUCT,,,en,1.0
as much as,as much as,CARDINAL,,,en,1.0
the day,the day,DATE,,,en,1.0
30 years old,30 years old,DATE,,,en,1.0
Palestinians,Palestinians,NORP,,,en,1.0
Israeli,Israeli,NORP,,,en,1.0
two years,two years,DATE,,,en,1.0
the morning,the morning,TIME,,,en,1.0
more than $500 billion,more than $500 billion,MONEY,,,en,1.0
+21011 chars,+21011 chars,WORK_OF_ART,,,en,1.0
The Celebrity Traitors,The Celebrity Traitors,WORK_OF_ART,,,en,1.0
Just 32 minutes,Just 32 minutes,TIME,,,en,1.0
"1,342","1,342",CARDINAL,,,en,1.0
"January 8, 2025","January 8, 2025",DATE,,,en,1.0
One minute,One minute,TIME,,,en,1.0
October 28,October 28,DATE,,,en,1.0
1934,1934,DATE,,,en,1.0
the Baptism Site,the Baptism Site,FAC,,,en,1.0
the King Cole Bar,the King Cole Bar,PRODUCT,,,en,1.0
the Great Rift Valley,the Great Rift Valley,FAC,,,en,1.0
seven,seven,CARDINAL,,,en,1.0
July,July,DATE,,,en,1.0
Hairfall,Hairfall,WORK_OF_ART,,,en,1.0
20°,20°,QUANTITY,,,en,1.0
+14367 chars,+14367 chars,WORK_OF_ART,,,en,1.0
World War II,World War II,EVENT,,,en,1.0
roughly 40,roughly 40,CARDINAL,,,en,1.0
April through October,April through October,DATE,,,en,1.0
$8.2 million,$8.2 million,MONEY,,,en,1.0
Oct. 30,Oct. 30,DATE,,,en,1.0
$8.2 Million,$8.2 Million,MONEY,,,en,1.0
ten years,ten years,DATE,,,en,1.0
the first hours of the day,the first hours of the day,TIME,,,en,1.0
mornings,mornings,TIME,,,en,1.0
4 a.m.,4 a.m.,TIME,,,en,1.0
"Wordle, Pilates","Wordle, Pilates",WORK_OF_ART,,,en,1.0
18.50 Cents,18.50 Cents,MONEY,,,en,1.0
Almost one-third,Almost one-third,CARDINAL,,,en,1.0
recent years,recent years,DATE,,,en,1.0
one-third,one-third,CARDINAL,,,en,1.0
about $9 million,about $9 million,MONEY,,,en,1.0
0.1850,0.1850,MONEY,,,en,1.0
the three months ended Septembe… STAMFORD,the three months ended Septembe… STAMFORD,DATE,,,en,1.0
European,European,NORP,,,en,1.0
2023-00988,2023-00988,DATE,,,en,1.0
2017-01900,2017-01900,DATE,,,en,1.0
+10626,+10626,NORP,,,en,1.0
